,categories,labels,images
0,car,7,/home/shared/DD2412-Advanced-Deep-Learning/datasets/VOC/VOC2007/JPEGImages/006369.jpg
1,dog,12,/home/shared/DD2412-Advanced-Deep-Learning/datasets/VOC/VOC2012/JPEGImages/2008_000641.jpg
2,car,7,/home/shared/DD2412-Advanced-Deep-Learning/datasets/VOC/VOC2007/JPEGImages/001576.jpg
3,car,7,/home/shared/DD2412-Advanced-Deep-Learning/datasets/VOC/VOC2012/JPEGImages/2008_005294.jpg
4,aeroplane,1,/home/shared/DD2412-Advanced-Deep-Learning/datasets/VOC/VOC2012/JPEGImages/2009_001027.jpg
5,sofa,18,/home/shared/DD2412-Advanced-Deep-Learning/datasets/VOC/VOC2012/JPEGImages/2011_000224.jpg
6,bottle,5,/home/shared/DD2412-Advanced-Deep-Learning/datasets/VOC/VOC2012/JPEGImages/2009_005044.jpg
7,train,19,/home/shared/DD2412-Advanced-Deep-Learning/datasets/VOC/VOC2007/JPEGImages/003818.jpg
8,cat,8,/home/shared/DD2412-Advanced-Deep-Learning/datasets/VOC/VOC2007/JPEGImages/003500.jpg
9,horse,13,/home/shared/DD2412-Advanced-Deep-Learning/datasets/VOC/VOC2007/JPEGImages/000470.jpg
10,bird,3,/home/shared/DD2412-Advanced-Deep-Learning/datasets/VOC/VOC2012/JPEGImages/2009_003168.jpg
11,car,7,/home/shared/DD2412-Advanced-Deep-Learning/datasets/VOC/VOC2012/JPEGImages/2008_000595.jpg
12,sheep,17,/home/shared/DD2412-Advanced-Deep-Learning/datasets/VOC/VOC2012/JPEGImages/2010_000667.jpg
13,bus,6,/home/shared/DD2412-Advanced-Deep-Learning/datasets/VOC/VOC2012/JPEGImages/2011_000267.jpg
14,bicycle,2,/home/shared/DD2412-Advanced-Deep-Learning/datasets/VOC/VOC2012/JPEGImages/2010_002708.jpg
15,motorbike,14,/home/shared/DD2412-Advanced-Deep-Learning/datasets/VOC/VOC2012/JPEGImages/2009_002240.jpg
16,cat,8,/home/shared/DD2412-Advanced-Deep-Learning/datasets/VOC/VOC2012/JPEGImages/2008_006926.jpg
17,sheep,17,/home/shared/DD2412-Advanced-Deep-Learning/datasets/VOC/VOC2012/JPEGImages/2010_002176.jpg
18,dog,12,/home/shared/DD2412-Advanced-Deep-Learning/datasets/VOC/VOC2012/JPEGImages/2010_001858.jpg
19,bicycle,2,/home/shared/DD2412-Advanced-Deep-Learning/datasets/VOC/VOC2007/JPEGImages/004136.jpg
